stop_name,nb_metro,nb_rer,line,Name
SAINT-MANDE,1,0,,saintmande
SAINT-PAUL (LE MARAIS),1,0,1,saintpaullemarais
HOTEL DE VILLE,2,0,,hoteldeville
MENILMONTANT,1,0,,menilmontant
SIX ROUTES,0,0,,sixroutes
LES COQUETIERS,0,0,,lescoquetiers
MARCHE DE SAINT-DENIS,0,0,,marchedesaintdenis
PARC DE SAINT-CLOUD,0,0,,parcdesaintcloud
PONT DE BONDY,0,0,,pontdebondy
PORTE DE BRANCION,0,0,,portedebrancion
BLANCHE,1,0,2,blanche
GALLIENI (PARC DE BAGNOLET),1,0,3,gallieniparcdebagnolet
GAMBETTA,2,0,3,gambetta
GAMBETTA,2,0,3b,gambetta
SAINT-MAUR,1,0,,saintmaur
MALESHERBES,1,0,3,malesherbes
WAGRAM,1,0,3,wagram
PORTE DE CHAMPERRET,1,0,3,portedechamperret
ANATOLE FRANCE,1,0,3,anatolefrance
CHATEAU ROUGE,1,0,,chateaurouge
SAINT-SULPICE,1,0,4,saintsulpice
MOUTON-DUVERNET,1,0,4,moutonduvernet
SAINT-MARCEL,1,0,5,saintmarcel
DANTON,0,0,,danton
DRANCY-AVENIR,0,0,,drancyavenir
ESCADRILLE NORMANDIE-NIEMEN,0,0,,escadrillenormandieniemen
ALMA-MARCEAU,1,0,9,almamarceau
BUZENVAL,1,0,9,buzenval
BOULOGNE-JEAN JAURES,1,0,,boulognejeanjaures
BELLEVILLE,2,0,11,belleville
BELLEVILLE,2,0,2,belleville
CONVENTION,1,0,12,convention
VAUGIRARD (ADOLPHE CHERIOU),1,0,,vaugirardadolphecheriou
FALGUIERE,1,0,,falguiere
TRINITE-D'ESTIENNE D'ORVES,1,0,,trinitedestiennedorves
NOTRE-DAME-DE-LORETTE,1,0,12,notredamedelorette
BROCHANT,1,0,13,brochant
GUY MOQUET,1,0,,guymoquet
SAINT-FARGEAU,1,0,3b,saintfargeau
VAIRES-TORCY,0,0,,vairestorcy
GRETZ-ARMAINVILLIERS,0,1,,gretzarmainvilliers
ISLES-ARMENTIERES-CONGIS,0,0,,islesarmentierescongis
LIZY-SUR-OURCQ,0,0,,lizysurourcq
CHANGIS-SAINT-JEAN,0,0,,changissaintjean
COUILLY-SAINT-GERMAIN-QUINCY,0,0,,couillysaintgermainquincy
GUERARD-LA-CELLE-SUR-MORIN,0,0,,guerardlacellesurmorin
COULOMMIERS,0,0,,coulommiers
PLACE D'ITALIE,3,0,5,placeditalie
PLACE D'ITALIE,3,0,6,placeditalie
PLACE D'ITALIE,3,0,7,placeditalie
BERCY,2,0,14,bercy
BERCY,2,0,6,bercy
QUAI DE LA GARE,1,0,6,quaidelagare
NATIONALE,1,0,6,nationale
CAMBRONNE,1,0,6,cambronne
CRIMEE,1,0,,crimee
LE PELETIER,1,0,7,lepeletier
PYRAMIDES,2,0,14,pyramides
PYRAMIDES,2,0,7,pyramides
PONT-NEUF (LA MONNAIE),1,0,,pontneuflamonnaie
PLACE MONGE (JARDIN DES PLANTES),1,0,7,placemongejardindesplantes
RICHELIEU-DROUOT,2,0,9,richelieudrouot
RICHELIEU-DROUOT,2,0,8,richelieudrouot
GRANDS BOULEVARDS (RUE MONTMARTRE),2,0,,grandsboulevardsruemontmartre
FILLES DU CALVAIRE,1,0,8,fillesducalvaire
CHEMIN VERT,1,0,8,cheminvert
MONTGALLET,1,0,8,montgallet
LIBERTE,1,0,,liberte
PONT DE SEVRES,1,0,,pontdesevres
LA NORVILLE-SAINT-GERMAIN-LES-ARPAJON,0,1,,lanorvillesaintgermainlesarpajon
SAINT-CHERON,0,1,,saintcheron
BOIGNEVILLE,0,1,,boigneville
BONNIERES,0,0,,bonnieres
ROSNY-SUR-SEINE,0,0,,rosnysurseine
GARGENVILLE,0,0,,gargenville
JUZIERS,0,0,,juziers
MEULAN-HARDRICOURT,0,0,,meulanhardricourt
THUN-LE-PARADIS,0,0,,thunleparadis
LA FRETTE-MONTIGNY,0,0,,lafrettemontigny
BESSANCOURT,0,0,,bessancourt
FREPILLON,0,0,,frepillon
LA BARRE-ORMESSON,0,0,,labarreormesson
DEUIL-MONTMAGNY,0,0,,deuilmontmagny
BAGNEAUX-SUR-LOING,0,0,,bagneauxsurloing
PORCHEFONTAINE,0,1,,porchefontaine
VERSAILLES CHATEAU,0,1,,versailleschateau
JOUY-EN-JOSAS,0,1,,jouyenjosas
LA VERRIERE,0,0,,laverriere
SAINT-NOM-LA-BRETECHE-FORET-DE-MARLY,0,0,,saintnomlabretecheforetdemarly
LE VESINET-CENTRE,0,1,,levesinetcentre
