duree,date,line_num,line_type,what,type_inc
0 days 00:01:00.000000000,2018-11-15 21:02:00,6,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:04:00,6,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:07:00,6,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:07:00,8,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:10:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:11:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:11:00,8,metro,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:13:00,6,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:16:00,6,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:16:00,8,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:19:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:21:00,8,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:21:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:22:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:23:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:23:00,8,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:25:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:27:00,8,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:27:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:29:00,6,metro,generic,unscheduled
0 days 00:03:00.000000000,2018-11-15 21:31:00,8,metro,breakdown,unscheduled
0 days 00:03:00.000000000,2018-11-15 21:31:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:35:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:36:00,8,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:36:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:37:00,6,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:38:00,8,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:38:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:40:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:41:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:41:00,8,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-15 21:42:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:44:00,8,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:44:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:45:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:46:00,8,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:46:00,6,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-15 21:47:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:50:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-15 21:50:00,8,metro,breakdown,unscheduled
0 days 04:49:00.000000000,2018-11-15 21:51:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-16 02:44:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-16 02:48:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-16 02:50:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:28:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:28:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:28:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:31:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:31:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:31:00,A,rer,breakdown,unscheduled
